min_price,max_price,VenueClass,num_links,seguidoresSpotify,popularidad,subsYT,peso_promotor,conciertos_del_artista_en_ciudad,num_noches,dias_Venta,dias_desde_finVenta,tiene_wiki,tiene_youtube,tiene_lastfm_url,tiene_twitter,tiene_instagram,tiene_itunes,tiene_homepage,NumGeneros,Adult Contemporary,Alternative,Alternative Rock,Ballads/Romantic,Blues,Classical,Classical/Vocal,Club Dance,Dance,Dance/Electronic,Flamenco,Folk,Funky Breaks,Hard Rock,Heavy Metal,Hip-Hop/Rap,Indie Pop,Jazz,Jazz Blues,K-Pop,Latin,Latin Pop,Metal,New Wave,Other,Performance Art,Pop,Pop Metal,Pop Rock,Pop Vocal,Psychedelic,R&B,Reggae,Rock,Singer-Songwriter,Soul,Urban,World
20.0,20.0,0,7,141559.0,54.0,46600.0,85,1.0,1,158,,0,1,0,1,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
20.0,20.0,0,7,141559.0,54.0,46600.0,85,1.0,1,159,,0,1,0,1,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
105.0,125.0,1,6,1338229.0,60.0,1740000.0,1,1.0,1,40,,0,1,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
55.0,80.0,1,5,617811.0,57.0,199000.0,6,1.0,1,99,,0,1,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
40.0,40.0,2,5,4564084.492307693,60.90461538461538,1716398.4314720812,8,2.0,2,212,,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
30.0,30.0,2,0,4564084.492307693,60.90461538461538,1716398.4314720812,14,1.0,1,357,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
34.0,38.0,1,0,4564084.492307693,60.90461538461538,1716398.4314720812,16,1.0,1,113,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
25.0,38.0,1,0,4564084.492307693,60.90461538461538,1716398.4314720812,65,1.0,1,150,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
32.0,32.0,1,6,179092.0,50.0,67000.0,65,1.0,1,128,,0,1,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
30.0,40.0,1,0,4564084.492307693,60.90461538461538,1716398.4314720812,16,1.0,1,131,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
25.0,38.0,0,0,4564084.492307693,60.90461538461538,1716398.4314720812,65,1.0,1,151,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
26.0,26.0,0,0,4564084.492307693,60.90461538461538,1716398.4314720812,85,1.0,1,12,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
55.0,115.0,2,10,7094942.0,77.0,1716398.4314720812,85,1.0,1,172,,1,1,1,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
12.0,12.0,0,0,4564084.492307693,60.90461538461538,1716398.4314720812,15,1.0,1,50,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
30.0,30.0,0,9,1143039.0,70.0,1716398.4314720812,85,1.0,1,258,,1,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
22.0,22.0,0,0,4564084.492307693,60.90461538461538,1716398.4314720812,85,1.0,1,78,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
30.0,30.0,1,9,1143039.0,70.0,1716398.4314720812,85,5.0,5,259,,1,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
55.0,85.0,1,5,617811.0,57.0,199000.0,5,1.0,1,112,,0,1,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
20.0,20.0,0,0,4564084.492307693,60.90461538461538,1716398.4314720812,14,1.0,1,320,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
25.0,25.0,2,2,4564084.492307693,60.90461538461538,1716398.4314720812,8,1.0,1,78,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
30.0,30.0,1,1,4564084.492307693,60.90461538461538,1716398.4314720812,2,1.0,1,164,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
25.0,60.0,0,5,208232.0,45.0,132000.0,16,1.0,1,87,,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
50.0,50.0,2,1,4564084.492307693,60.90461538461538,1716398.4314720812,22,2.0,1,85,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
28.0,28.0,2,1,4564084.492307693,60.90461538461538,1716398.4314720812,22,2.0,1,85,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
25.0,25.0,0,2,4564084.492307693,60.90461538461538,1716398.4314720812,85,4.0,4,128,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
25.0,38.0,0,0,4564084.492307693,60.90461538461538,1716398.4314720812,65,1.0,1,164,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
32.0,32.0,0,6,179092.0,50.0,67000.0,65,1.0,1,142,,0,1,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
50.0,75.0,1,5,617811.0,57.0,199000.0,6,1.0,1,143,,0,1,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
27.0,55.0,2,5,535307.0,61.0,912000.0,2,1.0,1,178,,0,1,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
30.0,40.0,0,0,4564084.492307693,60.90461538461538,1716398.4314720812,16,1.0,1,151,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
50.0,270.0,2,10,6163482.0,74.0,1716398.4314720812,4,2.0,2,237,,1,1,1,1,1,1,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
18.0,18.0,0,6,17206.0,34.0,3090.0,85,1.0,1,155,,0,1,0,1,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
18.0,18.0,0,6,17206.0,34.0,3090.0,85,1.0,1,156,,0,1,0,1,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
10.0,10.0,0,0,4564084.492307693,60.90461538461538,1716398.4314720812,2,1.0,1,120,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
30.0,30.0,0,6,179092.0,50.0,67000.0,65,1.0,1,148,,0,1,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
25.0,25.0,2,0,4564084.492307693,60.90461538461538,1716398.4314720812,65,1.0,1,154,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
50.0,270.0,1,10,6163482.0,74.0,1716398.4314720812,4,1.0,1,241,,1,1,1,1,1,1,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
20.0,20.0,0,0,4564084.492307693,60.90461538461538,1716398.4314720812,14,1.0,1,334,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
65.0,80.0,0,5,617811.0,57.0,199000.0,6,1.0,1,331,,0,1,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
25.0,60.0,0,5,208232.0,45.0,132000.0,16,1.0,1,95,,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
36.0,80.0,2,10,3903875.0,73.0,1716398.4314720812,85,2.0,1,176,,1,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
35.0,35.0,0,10,6365557.0,76.0,3150000.0,85,1.0,1,155,,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
25.0,60.0,0,5,208232.0,45.0,132000.0,16,1.0,1,96,,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
36.0,36.0,1,10,3903875.0,73.0,1716398.4314720812,85,2.0,1,118,,1,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
36.0,36.0,0,10,3903875.0,73.0,1716398.4314720812,85,2.0,1,59,,1,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
35.0,38.0,2,10,6365557.0,76.0,3150000.0,85,1.0,1,156,,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
60.0,200.0,2,10,6163482.0,74.0,1716398.4314720812,4,1.0,1,246,,1,1,1,1,1,1,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
20.0,20.0,0,0,4564084.492307693,60.90461538461538,1716398.4314720812,65,1.0,1,85,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
20.0,20.0,0,7,261827.0,64.0,459000.0,65,1.0,1,107,,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
20.0,20.0,0,7,261827.0,64.0,459000.0,65,1.0,1,108,,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
25.0,38.0,0,0,4564084.492307693,60.90461538461538,1716398.4314720812,65,1.0,1,178,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
40.0,150.0,2,10,9814310.0,77.0,2110000.0,85,1.0,1,295,,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
12.0,12.0,0,0,4564084.492307693,60.90461538461538,1716398.4314720812,65,1.0,1,44,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
40.0,40.0,0,6,387005.0,66.0,49000.0,85,1.0,1,123,,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
40.0,40.0,2,10,884157.0,70.0,407000.0,85,2.0,1,169,,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
25.0,25.0,1,8,393109.0,59.0,704000.0,85,1.0,1,132,,0,1,0,1,1,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
20.0,20.0,0,7,261827.0,64.0,459000.0,65,1.0,1,121,,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
40.0,40.0,1,10,884157.0,70.0,407000.0,85,2.0,1,170,,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
26.5,60.0,0,5,208232.0,45.0,132000.0,16,1.0,1,115,,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
27.0,27.0,0,6,194.0,0.0,1716398.4314720812,65,1.0,1,150,,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
20.0,20.0,0,7,261827.0,64.0,459000.0,65,1.0,1,122,,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
22.0,22.0,1,0,4564084.492307693,60.90461538461538,1716398.4314720812,65,1.0,1,108,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
60.0,75.0,2,6,2632887.0,65.0,1600000.0,85,1.0,1,113,,0,1,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
35.0,35.0,0,0,4564084.492307693,60.90461538461538,1716398.4314720812,85,1.0,1,333,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
