Test Fold,MAPE Train,RMSE Train,MSE Train,MAPE Val,RMSE Val,MSE Val
0,0.2251805152935429,12.591980997797549,158.55798544889456,0.49389169329275734,21.47546986094079,461.1958057481763
1,0.2464047163844784,13.474735484080416,181.56849636593589,0.48059388781871143,18.206353195414717,331.4712966761877
2,0.26356915036609696,13.686719212535907,187.3262828027995,0.41284661692400104,24.937052349083885,621.8565798609501
3,0.17743620626296508,10.912984005132948,119.09321989628755,0.4067599642604189,20.816669138603395,433.33371402608293
Promedio,0.22814764707677082,12.666604924886705,161.63649612847937,0.4485230405739722,21.358886136010696,461.9643490778492
