Test Fold,MAPE Train,RMSE Train,MSE Train,MAPE Val,RMSE Val,MSE Val
0,0.04983658255227668,3.1800459033775783,10.11269194758852,0.09215567370214657,5.091699293354537,25.925401693947098
1,0.05797369189527429,3.479736559809535,12.1085665256751,0.07277789370105103,3.5475410143058768,12.58504724818237
2,0.05887905856598214,3.4283792372865616,11.753784194657586,0.07403408453197383,4.533283904597396,20.550662959681812
3,0.05194049635019968,3.0980357855350467,9.597825728455753,0.09515137461234685,5.036808915455302,25.36944405081002
Promedio,0.0546574573409332,3.2965493715021803,10.893217099094239,0.08352975663687956,4.552333281928278,21.107638988155326
