Test Fold,MAPE Train,RMSE Train,MSE Train,MAPE Val,RMSE Val,MSE Val
0,0.17645248224583923,10.837042938691297,117.4414996550389,0.25174217657916853,11.722068763670476,137.4068961002191
1,0.17501448537361716,11.856370201207561,140.57351434808263,0.23960082121207849,10.749003849325712,115.54108375281896
2,0.18654362975164165,10.539792495205766,111.08722584199579,0.20757981662365055,18.64772869311231,347.73778541192416
3,0.15997002804269495,10.107485549559943,102.16126413456305,0.263212915778216,15.838052239950263,250.84389875539358
Promedio,0.17449515635344826,10.835172796166141,117.81587599492009,0.24053393254827837,14.23921338651469,212.88241600508894
