Test Fold,MAPE Train,RMSE Train,MSE Train,MAPE Val,RMSE Val,MSE Val
0,0.07595884386399081,4.800584565850654,23.045612173883512,0.39789095708486766,22.214472835720013,493.48280336894237
1,0.08794894806481206,5.274855660040568,27.824102234262014,0.44541834667922303,16.585136202873365,275.06674286786074
2,0.08616606131629471,4.9323477458313745,24.328054285807845,0.36574227372539386,22.432638275989795,503.22326002140244
3,0.07273453192026533,4.343801016188909,18.8686072682438,0.3886552591437529,19.435970739288507,377.756958578479
Promedio,0.08070209629134073,4.837897246977876,23.516593990549296,0.39942670915830936,20.167054513467917,412.38244120917113
