Test Fold,MAPE Train,RMSE Train,MSE Train,MAPE Val,RMSE Val,MSE Val
0,0.17645248224583923,10.837042938691297,117.4414996550389,0.25174217657916853,11.722068763670476,137.4068961002191
1,0.17501448537361716,11.856370201207561,140.57351434808263,0.23960082121207849,10.749003849325712,115.54108375281896
2,0.18725412082431564,10.542339898830171,111.14093054246653,0.20753972160541645,18.647987283171197,347.74742971331466
3,0.1584353210406713,10.579321025378992,111.92203335802601,0.2654741802589926,15.924284658904673,253.5828418978267
Promedio,0.17428910237111084,10.953768516027004,120.26949447590351,0.24108922491391402,14.260836138768015,213.56956286604486
