Test Fold,MAPE Train,RMSE Train,MSE Train,MAPE Val,RMSE Val,MSE Val
0,0.059177110625753856,4.5387754194365115,20.60048230808108,0.26404531999033326,14.428047831925237,208.16856424032252
1,0.06199269122460246,4.677664246107152,21.88054279930919,0.25241177694245465,9.840905338163525,96.84341787469536
2,0.0669495553395868,3.8848797369217616,15.092290570345295,0.21973710451106973,19.19312370163492,368.37599742626014
3,0.05356052094466351,3.9448623318946345,15.561938817601172,0.25077594032744804,14.204120958183134,201.75705219469734
Promedio,0.060419969533651655,4.2615454335900145,18.283813623834185,0.24674253544282643,14.416549457476703,218.78625793399385
