Test Fold,MAPE Train,RMSE Train,MSE Train,MAPE Val,RMSE Val,MSE Val
0,0.08690478673905197,7.57343594257392,57.35693197627052,0.2648941807495297,13.545060479168608,183.46866338433534
1,0.09318167529990759,7.271622801228099,52.876498163340386,0.23392493017933702,9.417568926510896,88.69060448558359
2,0.09946547606695949,5.844979879240823,34.163789788730064,0.22807389330247935,18.588188450950526,345.52074988805055
3,0.08498031801919577,6.887941599644837,47.44373948011788,0.25160828670440244,13.410815150498122,179.84996300082994
Promedio,0.0911330640312787,6.89449505567192,47.96023985211471,0.2446253227339371,13.74040825178204,199.38249518969985
