name,promoter,startDateTime,sales_datetime,end_datetime,min_price,max_price,genero,subgnero,nameArtist,genre,subgenre,type,subtype,VenueName,VenueCity,VenueState,links,num_links,spotify_url,seguidores,popularidad,GéneroArtista,lastfm_url,seguidoresLast,youtube_url,subscriptores,wiki_url,premios,salaCiudad,VenueClass
Isaac Delusion,"Houston Party, SL",2024-04-04T21:00:00Z,2023-09-14T16:00:00Z,2024-04-04T19:30:00Z,18.0,18.0,Alternative,Alternative Rock,Isaac Delusion,Dance/Electronic,Club Dance,Undefined,Undefined,Sala El Sol,Madrid,Madrid,"{'youtube': [{'url': 'https://www.youtube.com/channel/UCNW-OpkcOaK8gD9cE98dIHQ'}], 'twitter': [{'url': 'https://twitter.com/IsaacDelusion'}], 'facebook': [{'url': 'https://www.facebook.com/IsaacDelusion'}], 'spotify': [{'url': 'https://open.spotify.com/artist/2HGAZDmVV3GAH4XFAZdvSG?si=HnCvhdsIQjaTZ72c-BizAA&nd=1'}], 'musicbrainz': [{'id': 'd6cce8f3-abd5-4e39-89b9-ab10cf813540'}], 'instagram': [{'url': 'https://www.instagram.com/isaacdelusion/'}], 'homepage': [{'url': 'http://www.isaacdelusion.com/'}]}",7,https://open.spotify.com/artist/2HGAZDmVV3GAH4XFAZdvSG?si=HnCvhdsIQjaTZ72c-BizAA&nd=1,114791.0,52.0,"['electro-pop francais', 'french indie pop', 'french indietronica', 'french psychedelic']",,,https://www.youtube.com/channel/UCNW-OpkcOaK8gD9cE98dIHQ,32200.0,,,"Sala El Sol, Madrid",SALA
Isaac Delusion,"Houston Party, SL",2024-04-05T19:30:00Z,2023-09-14T16:00:00Z,2024-04-05T19:00:00Z,18.0,18.0,Alternative,Alternative Rock,Isaac Delusion,Dance/Electronic,Club Dance,Undefined,Undefined,Razzmatazz 3,Barcelona,Barcelona,"{'youtube': [{'url': 'https://www.youtube.com/channel/UCNW-OpkcOaK8gD9cE98dIHQ'}], 'twitter': [{'url': 'https://twitter.com/IsaacDelusion'}], 'facebook': [{'url': 'https://www.facebook.com/IsaacDelusion'}], 'spotify': [{'url': 'https://open.spotify.com/artist/2HGAZDmVV3GAH4XFAZdvSG?si=HnCvhdsIQjaTZ72c-BizAA&nd=1'}], 'musicbrainz': [{'id': 'd6cce8f3-abd5-4e39-89b9-ab10cf813540'}], 'instagram': [{'url': 'https://www.instagram.com/isaacdelusion/'}], 'homepage': [{'url': 'http://www.isaacdelusion.com/'}]}",7,https://open.spotify.com/artist/2HGAZDmVV3GAH4XFAZdvSG?si=HnCvhdsIQjaTZ72c-BizAA&nd=1,114791.0,52.0,"['electro-pop francais', 'french indie pop', 'french indietronica', 'french psychedelic']",,,https://www.youtube.com/channel/UCNW-OpkcOaK8gD9cE98dIHQ,32200.0,,,"Razzmatazz 3, Barcelona",SALA
The New Raemon,"Houston Party, SL",2024-04-13T19:30:00Z,2024-02-13T10:00:00Z,2024-04-13T19:00:00Z,25.0,25.0,Alternative,Alternative Rock,The New Raemon,Rock,Pop,Undefined,Undefined,Sala Copérnico,Madrid,Madrid,"{'musicbrainz': [{'id': '77793575-4b30-4984-bb80-ed423958aeb4'}], 'homepage': [{'url': 'http://www.thenewraemon.com/'}]}",2,None,,,,,,,,,,"Sala Copérnico, Madrid",SALA
Pink Turns Blue + Hørd,Sergio Solís Gálvez,2024-04-18T20:00:00Z,2023-10-18T16:30:00Z,2024-04-18T18:30:00Z,22.0,22.0,Alternative,Alternative Rock,Pink Turns Blue,Rock,Alternative Rock,Group,Band,Sala Upload - Poble Espanyol,Barcelona,Barcelona,,0,None,,,,,,,,,,"Sala Upload - Poble Espanyol, Barcelona",SALA
The New Raemon,"Houston Party, SL",2024-05-04T19:30:00Z,2024-02-13T10:00:00Z,2024-05-04T19:00:00Z,25.0,25.0,Alternative,Alternative Rock,The New Raemon,Rock,Pop,Undefined,Undefined,La 2 de Apolo,Barcelona,Barcelona,"{'musicbrainz': [{'id': '77793575-4b30-4984-bb80-ed423958aeb4'}], 'homepage': [{'url': 'http://www.thenewraemon.com/'}]}",2,None,,,,,,,,,,"La 2 de Apolo, Barcelona",SALA
Future Islands,"Houston Party, SL",2024-05-12T19:30:00Z,2024-02-02T09:00:00Z,2024-05-12T19:00:00Z,35.0,35.0,Alternative,Alternative Rock,Future Islands,Rock,Pop,Undefined,Undefined,La Riviera,Madrid,Madrid,"{'youtube': [{'url': 'https://www.youtube.com/channel/UClqoxjo1S73pcBTJs39KYHA'}], 'twitter': [{'url': 'https://twitter.com/futureislands'}], 'itunes': [{'url': 'https://music.apple.com/us/artist/future-islands/288437518'}], 'lastfm': [{'url': 'http://www.last.fm/music/Future+Islands'}], 'facebook': [{'url': 'https://www.facebook.com/pages/Future-Islands/161555136568'}], 'wiki': [{'url': 'https://en.wikipedia.org/wiki/Future_Islands'}], 'spotify': [{'url': 'https://open.spotify.com/artist/1WvvwcQx0tj6NdDhZZ2zZz'}], 'musicbrainz': [{'id': '74963434-dcb6-4b14-98cc-99873b06db66'}], 'instagram': [{'url': 'https://www.instagram.com/futureislands/'}], 'homepage': [{'url': 'http://www.future-islands.com/'}]}",10,https://open.spotify.com/artist/1WvvwcQx0tj6NdDhZZ2zZz,595770.0,62.0,"['alternative dance', 'art pop', 'baltimore indie', 'chamber pop', 'indie rock', 'indietronica', 'neo-synthpop', 'shimmer pop']",http://www.last.fm/music/Future+Islands,748200.0,https://www.youtube.com/channel/UClqoxjo1S73pcBTJs39KYHA,106000.0,https://en.wikipedia.org/wiki/Future_Islands,0.0,"La Riviera, Madrid",TEATRO
Future Islands,"Houston Party, SL",2024-05-13T19:30:00Z,2024-02-02T09:00:00Z,2024-05-13T19:00:00Z,35.0,35.0,Alternative,Alternative Rock,Future Islands,Rock,Pop,Undefined,Undefined,Sala Razzmatazz 1,Barcelona,Barcelona,"{'youtube': [{'url': 'https://www.youtube.com/channel/UClqoxjo1S73pcBTJs39KYHA'}], 'twitter': [{'url': 'https://twitter.com/futureislands'}], 'itunes': [{'url': 'https://music.apple.com/us/artist/future-islands/288437518'}], 'lastfm': [{'url': 'http://www.last.fm/music/Future+Islands'}], 'facebook': [{'url': 'https://www.facebook.com/pages/Future-Islands/161555136568'}], 'wiki': [{'url': 'https://en.wikipedia.org/wiki/Future_Islands'}], 'spotify': [{'url': 'https://open.spotify.com/artist/1WvvwcQx0tj6NdDhZZ2zZz'}], 'musicbrainz': [{'id': '74963434-dcb6-4b14-98cc-99873b06db66'}], 'instagram': [{'url': 'https://www.instagram.com/futureislands/'}], 'homepage': [{'url': 'http://www.future-islands.com/'}]}",10,https://open.spotify.com/artist/1WvvwcQx0tj6NdDhZZ2zZz,595770.0,62.0,"['alternative dance', 'art pop', 'baltimore indie', 'chamber pop', 'indie rock', 'indietronica', 'neo-synthpop', 'shimmer pop']",http://www.last.fm/music/Future+Islands,748200.0,https://www.youtube.com/channel/UClqoxjo1S73pcBTJs39KYHA,106000.0,https://en.wikipedia.org/wiki/Future_Islands,0.0,"Sala Razzmatazz 1, Barcelona",SALA
The Cat Empire,"Houston Party, SL",2024-07-12T20:00:00Z,2024-02-02T09:00:00Z,2024-07-12T19:00:00Z,35.0,35.0,Alternative,Alternative Rock,The Cat Empire,Rock,Pop,Undefined,Undefined,Sala Capitol,Santiago de Compostela,La Corunna,"{'youtube': [{'url': 'https://www.youtube.com/user/thecatempire'}], 'twitter': [{'url': 'https://twitter.com/thecatempire'}], 'itunes': [{'url': 'https://music.apple.com/us/artist/the-cat-empire/71333554?uo=4&app=music'}], 'facebook': [{'url': 'https://www.facebook.com/thecatempire'}], 'wiki': [{'url': 'https://en.wikipedia.org/wiki/The_Cat_Empire'}], 'spotify': [{'url': 'https://open.spotify.com/artist/023YMawCG3OvACmRjWxLWC?si=eIW-qgyvRHGXq6scIOv5JQ&nd=1'}], 'instagram': [{'url': 'https://instagram.com/thecatempire/'}], 'musicbrainz': [{'id': 'a530492f-8806-4bd7-9c14-80c237eb92fe'}], 'homepage': [{'url': 'http://thecatempire.com/'}]}",9,https://open.spotify.com/artist/023YMawCG3OvACmRjWxLWC?si=eIW-qgyvRHGXq6scIOv5JQ&nd=1,358104.0,52.0,"['australian reggae fusion', 'australian ska', 'ska jazz']",,,https://www.youtube.com/user/thecatempire,,https://en.wikipedia.org/wiki/The_Cat_Empire,3.0,"Sala Capitol, Santiago de Compostela",SALA
The Tallest Man On Earth,"Houston Party, SL",2024-09-03T19:00:00Z,2024-03-06T09:00:00Z,2024-09-03T18:30:00Z,32.0,32.0,Alternative,Alternative Rock,The Tallest Man On Earth,Rock,Pop,Undefined,Undefined,Sala Apolo,Barcelona,Barcelona,"{'youtube': [{'url': 'https://www.youtube.com/channel/UC9EHP9xTtUHNAkgaAraAPWA'}], 'twitter': [{'url': 'https://twitter.com/tallestman'}], 'facebook': [{'url': 'https://www.facebook.com/thetallestmanonearthofficial'}], 'spotify': [{'url': 'https://open.spotify.com/artist/2BpAc5eK7Rz5GAwSp9UYXa?autoplay=true'}], 'instagram': [{'url': 'https://www.instagram.com/spkmatsson/'}], 'homepage': [{'url': 'https://thetallestmanonearth.com/'}]}",6,https://open.spotify.com/artist/2BpAc5eK7Rz5GAwSp9UYXa?autoplay=true,629604.0,51.0,"['chamber pop', 'indie folk', 'stomp and holler', 'swedish americana', 'swedish singer-songwriter']",,,https://www.youtube.com/channel/UC9EHP9xTtUHNAkgaAraAPWA,56800.0,,,"Sala Apolo, Barcelona",SALA
The Tallest Man On Earth,"Houston Party, SL",2024-09-05T19:30:00Z,2024-03-06T09:00:00Z,2024-09-05T19:00:00Z,32.0,32.0,Alternative,Alternative Rock,The Tallest Man On Earth,Rock,Pop,Undefined,Undefined,La Riviera,Madrid,Madrid,"{'youtube': [{'url': 'https://www.youtube.com/channel/UC9EHP9xTtUHNAkgaAraAPWA'}], 'twitter': [{'url': 'https://twitter.com/tallestman'}], 'facebook': [{'url': 'https://www.facebook.com/thetallestmanonearthofficial'}], 'spotify': [{'url': 'https://open.spotify.com/artist/2BpAc5eK7Rz5GAwSp9UYXa?autoplay=true'}], 'instagram': [{'url': 'https://www.instagram.com/spkmatsson/'}], 'homepage': [{'url': 'https://thetallestmanonearth.com/'}]}",6,https://open.spotify.com/artist/2BpAc5eK7Rz5GAwSp9UYXa?autoplay=true,629604.0,51.0,"['chamber pop', 'indie folk', 'stomp and holler', 'swedish americana', 'swedish singer-songwriter']",,,https://www.youtube.com/channel/UC9EHP9xTtUHNAkgaAraAPWA,56800.0,,,"La Riviera, Madrid",TEATRO
