name,promoter,startDateTime,sales_datetime,end_datetime,min_price,max_price,genero,subgnero,nameArtist,genre,subgenre,type,subtype,VenueName,VenueCity,VenueState,num_links,seguidores,popularidad,seguidoresLast,subscriptores,premios,VenueClass,NumGeneros
ElGrandeToto - Twenty-Seven Tour,Live Nation España S.A.U.,2024-04-24T18:30:00Z,2023-06-19T08:00:00Z,2024-04-24T21:00:00Z,24.0,24.0,Other,Other,ElGrandeToto,Hip-Hop/Rap,Hip-Hop/Rap,Individual,Singer/Vocalist,LA SALA (WIZINK CENTER),Madrid,Madrid,0,0,0,0,0,0,SALA,0
Ha*Ash,"Planet Events, S.A.",2024-04-25T19:00:00Z,2023-11-16T11:00:00Z,2024-04-25T19:00:00Z,35.0,35.0,Other,Other,Ha*Ash,Ballads/Romantic,Ballads/Romantic,Undefined,Undefined,Sala París 15,Málaga,Málaga,9,8158803,74,0,0,0,SALA,3
La Plazuela,Taste the Floor S.L.,2024-04-27T19:00:00Z,2023-10-13T16:00:00Z,2024-04-27T19:00:00Z,25.0,25.0,World,Flamenco,La Plazuela,World,Flamenco,Group,Group,Palacio Vistalegre,Madrid,Madrid,0,0,0,0,0,0,ESTADIO S,0
Kontravoid,Albert Pavía Izquierdo,2024-05-02T19:45:00Z,2024-02-14T11:41:00Z,2024-05-02T19:15:00Z,20.0,20.0,Dance/Electronic,Dance/Electronic,Kontravoid,Rock,Pop,Undefined,Undefined,The Bassement Club,Madrid,Madrid,6,0,0,0,0,0,,0
Camela,"Midnight Barcelona, S.L.",2024-05-03T20:00:00Z,2024-01-08T16:40:00Z,2024-05-03T19:30:00Z,27.0,27.0,World,Flamenco,Camela,Other,Other,Individual,Singer/Vocalist,Zona Camping Circuit Catalunya,Montmeló,Barcelona,6,402985,57,0,316000,0,,4
El Pau,"Eo Música Representación y Producción, S.L.U.",2024-05-03T20:30:00Z,2024-01-15T13:19:00Z,2024-05-03T21:00:00Z,13.0,13.0,Other,Other,El Pau,Rock,Rock,Individual,Artist,La Chica de Ayer,Salamanca,Salamanca,0,0,0,0,0,0,SALA,0
Kontravoid,Albert Pavía Izquierdo,2024-05-03T20:00:00Z,2024-02-14T11:42:00Z,2024-05-03T19:30:00Z,20.0,20.0,Dance/Electronic,Dance/Electronic,Kontravoid,Rock,Pop,Undefined,Undefined,Sala Upload - Poble Espanyol,Barcelona,Barcelona,6,0,0,0,0,0,SALA,0
El Kanka,"A Volar Music, S.L",2024-05-05T18:30:00Z,2023-12-26T09:00:00Z,2024-05-05T18:00:00Z,35.0,35.0,Other,Other,El Kanka,Pop,Pop,Undefined,Undefined,La Riviera,Madrid,Madrid,7,275892,57,0,252000,0,TEATRO,2
The Change,"Ocesa Seitrack España, S.L.U.",2024-05-09T21:00:00Z,2024-02-06T17:00:00Z,2024-05-09T19:30:00Z,18.0,18.0,Hip-Hop/Rap,Hip-Hop/Rap,The Change,Hip-Hop/Rap,Urban,Undefined,Undefined,Sala Sidecar,Barcelona,Barcelona,0,0,0,0,0,0,SALA,0
Jorge Celedón,"See Events Experience, S.L.",2024-05-10T22:00:00Z,2024-02-14T09:18:00Z,2024-05-10T21:50:00Z,45.0,500.0,Other,Other,Jorge Celedon,World,Latin,Undefined,Undefined,Castillo San Miguel,San Miguel de Abona,Santa Cruz de Tenerife,7,1848327,60,0,948000,0,TEATRO,2
