Test Fold,MAPE Train,RMSE Train,MSE Train,MAPE Val,RMSE Val,MSE Val
0,0.04961333465257774,3.1635523845825784,10.008063689998117,0.0913752713872591,5.04798563001787,25.48215892086691
1,0.057933172956669,3.482159865778517,12.12543733083866,0.07164782376335044,3.550766333148263,12.607941552619161
2,0.05867950213213887,3.415253429139382,11.663955985248307,0.07474119165902673,4.5528782735058995,20.72870057336206
3,0.05165949366391476,3.1202000046562954,9.735648069057147,0.09580774641222606,5.059711359744479,25.600679043927325
Promedio,0.05447137585132509,3.295291421039193,10.883276268785558,0.08339300830546559,4.552835399104128,21.104870022693866
